ped,KRN
B73|B97,17.3333333333328
B73|CML103,15.7777777777773
B73|CML228,15.7777777777771
B73|CML277,15.9999999999994
B73|CML322,16.6666666666661
B73|CML333,14.4444444444438
B73|CML52,15.7203195892763
B73|CML69,15.1111111111107
B73|Hp301,17.1111111111105
B73|IL14H,15.6666666666661
B73|Ki11,16.2222222222216
B73|Ki3,15.7777777777771
B73|Ky21,15.5555555555550
B73|M37W,15.9392447097681
B73|Mo17,16.0126072127275
B73|Mo18W,18.2222222222215
B73|NC350,16.4444444444439
B73|NC358,15.932005360533
B73|Oh43,17.7777777777771
B73|Oh7B,17.9999999999994
B73|P39,14.5555555555549
B73|Tx303,16.8888888888883
B73|Tzi8,17.9999999999995
B97|CML103,16.5654175267057
B97|CML228,15.3333333333327
B97|CML277,13.9999999999993
B97|CML322,16.4444444444438
B97|Hp301,14.4444444444437
B97|IL14H,15.3333333333329
B97|Ki11,15.419566276622
B97|Ky21,14.2222222222216
B97|M37W,16.4444444444437
B97|Mo17,13.9999999999993
B97|Ms71,16.8888888888883
B97|NC350,16.4444444444438
B97|NC358,15.4444444444439
B97|Oh43,16.6666666666660
B97|Oh7B,16.8888888888884
B97|P39,13.3333333333328
B97|Tx303,15.1617470962252
CML103|CML228,14.4960602460217
CML103|CML277,13.9999999999995
CML103|CML322,14.8888888888883
CML103|CML333,14.2222222222216
CML103|Hp301,15.1111111111105
CML103|IL14H,16.2767091337651
CML103|Ki11,14.8888888888883
CML103|Ki3,16.4444444444431
CML103|Ky21,13.7097831383108
CML103|M162W,14.5555555555549
CML103|M37W,14.6491211352363
CML103|Mo17,13.5555555555549
CML103|Ms71,16.8888888888883
CML103|NC350,15.7777777777773
CML103|NC358,14.3333333333327
CML103|Oh43,15.9999999999994
CML103|P39,15.1692665340039
CML103|Tx303,15.7777777777772
CML103|Tzi8,16.6666666666662
CML228|CML322,15.5555555555550
CML228|CML333,13.1111111111105
CML228|CML52,11.3333333333329
CML228|CML69,13.6509076507560
CML228|Hp301,13.9999999999995
CML228|IL14H,14.9960602460218
CML228|Ki11,13.4960602460218
CML228|Ki3,13.5012999336685
CML228|M162W,13.5555555555549
CML228|NC358,13.9999999999993
CML228|Oh43,15.9999999999994
CML228|Tzi8,15.9960602460219
CML277|CML322,15.2222222222216
CML277|CML333,12.6666666666661
CML277|CML52,11.9999999999994
CML277|CML69,12.666666666666
CML277|Ki11,11.9980301230106
CML277|Ki3,14.2222222222215
CML277|Ky21,11.9999999999995
CML277|M162W,14.6666666666661
CML277|M37W,12.4444444444438
CML277|Mo17,13.5555555555550
CML277|Mo18W,13.7777777777772
CML277|Ms71,16.6736529168613
CML277|NC350,13.3333333333327
CML277|Oh43,14.2222222222216
CML277|P39,13.7777777777772
CML277|Tx303,14.3333333333327
CML277|Tzi8,13.8888888888883
CML322|CML333,13.9999999999994
CML322|CML52,13.555555555555
CML322|CML69,15.3000788328389
CML322|Hp301,15.7777777777772
CML322|Ki11,14.9999999999994
CML322|Ki3,16.4444444444438
CML322|Ky21,13.4195662766220
CML322|M162W,15.9999999999994
CML322|Mo17,14.8888888888883
CML322|Mo18W,17.3333333333327
CML322|Ms71,18.8888888888883
CML322|NC358,15.1508079007884
CML322|Oh43,16.4960602460219
CML322|P39,14.0069862501947
CML322|Tx303,16.9318754657092
CML322|Tzi8,17.5258079007884
CML333|CML52,12.8888888888883
CML333|Hp301,13.7777777777771
CML333|IL14H,14.2222222222216
CML333|Ki11,12.4444444444438
CML333|Ki3,13.7777777777772
CML333|Ky21,12.2222222222217
CML333|M162W,14.2222222222216
CML333|Mo17,14.6666666666661
CML333|Mo18W,13.9999999999995
CML333|NC358,13.7777777777772
CML333|Oh43,15.3333333333327
CML333|Oh7B,14.9999999999994
CML333|P39,13.3333333333326
CML333|Tx303,14.4444444444438
CML333|Tzi8,14.5026398203081
CML52|CML69,11.555555555555
CML52|Ki11,11.5555555555549
CML52|Ki3,12.0051997346752
CML52|Ky21,12.8888888888884
CML52|M37W,11.9960602460218
CML52|Mo17,11.7777777777771
CML52|Mo18W,14.2222222222216
CML52|NC350,13.3333333333328
CML52|Oh7B,15.5555555555550
CML52|Tx303,13.3333333333328
CML52|Tzi8,13.9999999999991
CML69|Ki11,12.6666666666661
CML69|Ky21,13.6509076507559
CML69|M162W,13.4960602460219
CML69|M37W,12.6666666666661
CML69|Mo17,12.6666666666660
CML69|NC350,14.2222222222216
CML69|P39,11.7777777777772
CML69|Tx303,14.6666666666660
CML69|Tzi8,14.4960602460219
Hp301|M37W,14.4444444444439
Hp301|Mo17,13.9999999999994
Hp301|NC350,15.7777777777772
Hp301|NC358,14.4444444444438
Hp301|Oh43,15.1111111111105
Hp301|P39,14.0029712769569
Hp301|Tx303,15.5555555555550
IL14H|Ki11,14.8888888888883
IL14H|Mo17,13.5555555555550
IL14H|Ms71,15.555555555555
IL14H|NC350,15.2460602460218
IL14H|NC358,15.6666666666660
IL14H|Oh43,16.8268824638749
Ki11|Ki3,12.2202523452328
Ki11|M162W,14.4792074136855
Ki11|Mo17,13.3333333333327
Ki11|Mo18W,14.2222222222216
Ki11|NC358,13.7460602460218
Ki11|Oh43,15.4960602460218
Ki11|Tx303,15.3333333333327
Ki11|Tzi8,14.6666666666661
Ki3|M162W,14.7202523452328
Ki3|M37W,14.8481377051936
Ki3|Mo18W,15.1338519909078
Ki3|NC358,14.6666666666660
Ki3|Oh7B,15.7460602460218
Ki3|P39,14.4444444444439
Ki3|Tx303,15.6666666666661
Ki3|Tzi8,16.6666666666652
Ky21|M37W,13.7725780431013
Ky21|Mo17,12.7460602460219
Ky21|Ms71,14.2222222222216
Ky21|NC350,14.1587871587110
Ky21|NC358,13.8869190118995
Ky21|Oh43,17.1111111111105
Ky21|Oh7B,14.6666666666660
Ky21|P39,13.9999999999994
Ky21|Tx303,14.3591412341217
Ky21|Tzi8,16.3263470831375
M162W|Mo18W,17.3333333333327
M162W|NC350,14.4444444444439
M162W|NC358,14.2222222222216
M162W|Oh7B,16.4444444444438
M162W|Tx303,15.9999999999994
M162W|Tzi8,15.3473058337232
M37W|Mo17,13.9999999999994
M37W|Mo18W,16.6666666666661
M37W|Ms71,16.8888888888883
M37W|NC350,15.1111111111105
M37W|NC358,14.1387891389208
M37W|Oh43,15.4195662766222
M37W|Oh7B,16.5555555555549
M37W|P39,12.8888888888882
M37W|Tx303,15.3333333333327
M37W|Tzi8,15.4444444444438
Mo17|NC350,15.1398402053609
Mo17|NC358,13.5555555555549
Mo17|Oh43,14.1111111111105
Mo17|Oh7B,16.4444444444438
Mo17|P39,12.9999999999994
Mo17|Tx303,14.8888888888883
Mo18W|NC350,16.2222222222216
Mo18W|Tzi8,18.0175455314291
Ms71|NC358,16.2222222222216
Ms71|Oh43,16.6666666666661
Ms71|P39,14.6666666666661
NC350|NC358,14.6111111111105
NC350|Oh43,15.8350719052874
NC350|Oh7B,15.9999999999994
NC350|P39,13.5555555555548
NC350|Tx303,16.1059113764349
NC350|Tzi8,16.8888888888883
NC358|Oh43,15.3062055223894
NC358|P39,14.586583167505
NC358|Tx303,14.4444444444438
Oh43|Oh7B,16.8888888888883
Oh43|P39,13.5051997346750
Oh7B|Tx303,17.3333333333327
Oh7B|Tzi8,17.4444444444438
P39|Tx303,14.8888888888883
P39|Tzi8,15.5555555555549
Tx303|Tzi8,15.5555555555549
