ped,AKW,KC,TKW
B73|B97,0.307525465166665,716.999999999974,219.179999999991
B73|CML103,0.364831503333331,603.222222222229,216.012222222223
B73|CML228,0.342694147111111,693,237.531111111111
B73|CML277,0.356821186111111,667.666666666666,239.251111111111
B73|CML322,0.288511098999999,660.444444444441,190.295555555554
B73|CML333,0.388512710555557,494.55555555555,192.03111111111
B73|CML52,0.303366166644234,706.86144484381,213.969972603484
B73|CML69,0.337239396777778,589.888888888886,198.177777777777
B73|Hp301,0.235612359000002,469.44444444445,109.423333333336
B73|IL14H,0.350599020333334,345.333333333328,118.193333333332
B73|Ki11,0.368071194333334,665.777777777774,245.234444444444
B73|Ki3,0.37306776922222,558.777777777786,208.433333333335
B73|Ky21,0.339832784222222,725.111111111109,249.623333333333
B73|M37W,0.316547022142705,681.503957047761,215.095377418814
B73|Mo17,0.371441437555555,742.888888888888,272.777777777777
B73|Mo18W,0.307440200222222,726.333333333331,220.755555555555
B73|NC350,0.324953738,719.333333333332,233.814444444444
B73|NC358,0.281757830996433,448.816439909195,124.962899309981
B73|Oh43,0.290452036333332,603.66666666666,172.110555555553
B73|Oh7B,0.316613424666666,532.999999999999,163.963333333333
B73|P39,0.314590750675171,447.642807539727,140.681300996328
B73|Tx303,0.35650477911111,805.777777777776,287.133333333332
B73|Tzi8,0.307121745,751.222222222221,229.356666666667
B74|Mo17,0.396183572469412,770.28492063561,294.230815941239
B75|Mo17,0.370344423469409,773.618253968943,279.160815941237
B97|CML103,0.320469012617121,655.31536441253,211.021318857523
B97|CML228,0.331768051666666,643.888888888891,214.882222222223
B97|CML277,0.377236697555554,600.111111111114,224.161111111111
B97|CML322,0.311333495111111,608.888888888897,185.778888888892
B97|Hp301,0.261406858777778,335.444444444447,86.1066666666675
B97|IL14H,0.326182043,564.666666666666,185.377777777778
B97|Ki11,0.379484344913502,619.632879818397,236.458338302503
B97|Ky21,0.338287410388888,668.833333333335,231.128888888889
B97|M37W,0.332270731333333,677.777777777777,224.642222222222
B97|Mo17,0.338701652555555,588.333333333334,198.45
B97|Ms71,0.340301396944444,519.944444444446,173.391666666667
B97|NC350,0.328853702388889,569.388888888889,186.212777777778
B97|NC358,0.327032110444444,618.166666666667,201.225
B97|Oh43,0.328133445777778,501.555555555551,161.46111111111
B97|Oh7B,0.36074944388889,489.999999999995,175.789999999999
B97|P39,0.341755883333333,296.444444444442,99.8233333333326
B97|Tx303,0.345214975385609,610.430722421913,213.730145031903
CML103|CML228,0.303328418274658,408.339384920552,126.094898007347
CML103|CML277,0.319321168666667,618.111111111108,196.259999999999
CML103|CML322,0.315838291833333,604.500000000003,190.977222222223
CML103|CML333,0.3531307975,413.111111111109,145.540555555555
CML103|Hp301,0.282286406555554,523.666666666653,146.339999999995
CML103|IL14H,0.372920492770645,309.347165532679,107.364052588216
CML103|Ki11,0.340534081444444,580.666666666667,197.835
CML103|Ki3,0.31571702022222,478.333333333354,149.097777777784
CML103|Ky21,0.353304065718655,577.887868480627,208.262185024267
CML103|M162W,0.375936434255385,575.711359126939,212.343490670339
CML103|M37W,0.343485478147479,619.566674137012,215.433093315521
CML103|Mo17,0.391279883888887,601.888888888891,234.892222222222
CML103|Ms71,0.373136101444443,445.444444444448,159.733333333334
CML103|NC350,0.308667221,551.999999999992,170.835555555553
CML103|NC358,0.337152384111111,542.222222222222,181.715555555555
CML103|Oh43,0.353684320111111,526.888888888888,177.926666666666
CML103|P39,0.345591196289758,325.73413258723,111.006061290592
CML103|Tx303,0.315437358555555,517.999999999993,163.267777777775
CML103|Tzi8,0.287606547444444,717.333333333333,206.551111111111
CML228|CML322,0.262781836777778,545.888888888891,141.707777777779
CML228|CML333,0.277960849777777,395.666666666664,111.504444444443
CML228|CML52,0.207288504777778,244.888888888892,51.9844444444459
CML228|CML69,0.295802198098628,372.857539682185,109.152925362712
CML228|Hp301,0.241195438555559,555.222222222232,133.974444444449
CML228|IL14H,0.352213136524656,483.339384920557,167.241148007347
CML228|Ki11,0.338382267149657,551.964384920552,187.686148007346
CML228|Ki3,0.235260725005988,407.908732960275,113.283863978627
CML228|M162W,0.342966464611111,627.277777777778,216.852222222222
CML228|NC358,0.293506779222222,596.222222222222,175.117777777778
CML228|Oh43,0.315256107,609.111111111109,190.656666666666
CML228|Tzi8,0.270348593024657,703.214384920548,190.944898007345
CML277|CML322,0.239910912888888,516.444444444442,128.885555555554
CML277|CML333,0.276738744333333,419.555555555548,119.33222222222
CML277|CML52,0.194428199333331,224.666666666656,46.8599999999961
CML277|CML69,0.271498377333333,433.888888888889,118.125555555556
CML277|Ki11,0.256879558803995,382.308581349164,100.653074003673
CML277|Ki3,0.287044182333334,623.666666666673,178.874444444447
CML277|Ky21,0.345195236333333,557.999999999999,205.353333333333
CML277|M162W,0.320698991222222,666.722222222219,214.456666666666
CML277|M37W,0.258745680255383,402.912748015821,103.938212892558
CML277|Mo17,0.392120691666666,724.444444444444,283.321111111111
CML277|Mo18W,0.254991723888888,409.333333333329,107.20111111111
CML277|Ms71,0.394668639808448,663.759130719639,261.015287961713
CML277|NC350,0.281724220666666,458.666666666664,128.724444444443
CML277|Oh43,0.361672283444445,655.333333333332,235.607777777778
CML277|P39,0.392996674777773,366.88888888891,140.712222222227
CML277|Tx303,0.309227666116495,550.246081349164,165.780643448118
CML277|Tzi8,0.224233342222222,413.277777777778,97.3922222222222
CML322|CML333,0.309970418555556,429.166666666666,133.283888888889
CML322|CML52,0.278568929111111,357.555555555556,93.7300000000002
CML322|CML69,0.317734482676243,334.895749900174,105.916197325324
CML322|Hp301,0.234152353999998,609.111111111106,141.984444444441
CML322|Ki11,0.284917958000001,392.333333333337,109.981666666668
CML322|Ki3,0.298740529888888,540.44444444444,161.23111111111
CML322|Ky21,0.332594922770645,643.204308389822,214.224052588217
CML322|M162W,0.317245896,631.166666666667,199.746666666666
CML322|Mo17,0.349993535777778,623.777777777782,216.980000000002
CML322|Mo18W,0.286554742,595.222222222225,166.503333333334
CML322|Ms71,0.275566020888888,698.22222222222,190.572222222221
CML322|NC358,0.280198396366495,604.475248015829,167.661893448117
CML322|Oh43,0.266453121399657,691.214384920548,181.738648007345
CML322|P39,0.329998915779717,412.964929600033,131.944527919865
CML322|Tx303,0.286179599588843,712.827329948472,203.858882895901
CML322|Tzi8,0.243578052517512,666.562416566822,163.303816372937
CML333|CML52,0.266417680222223,310.777777777789,83.3322222222261
CML333|Hp301,0.251930315555555,399.666666666662,100.371111111109
CML333|IL14H,0.378492151666666,396.555555555559,148.053333333334
CML333|Ki11,0.301626828333333,346.555555555549,106.515555555553
CML333|Ki3,0.330150366888888,436.888888888911,144.296666666673
CML333|Ky21,0.374985995444448,530.222222222207,200.009999999997
CML333|M162W,0.3424740275,553.944444444445,190.044444444445
CML333|Mo17,0.411184839777778,541.111111111109,220.706666666666
CML333|Mo18W,0.327928028444444,374.444444444461,121.574444444449
CML333|NC358,0.318048242111111,477.777777777774,151.598333333332
CML333|Oh43,0.373937002222222,551.88888888889,204.955555555556
CML333|Oh7B,0.37356127,395.777777777776,146.752777777777
CML333|P39,0.328937879666666,341.666666666677,108.273333333336
CML333|Tx303,0.396560541555558,503.444444444435,206.50111111111
CML333|Tzi8,0.286236124719353,438.00188211918,127.901238014029
CML52|CML69,0.223932999888886,99.1111111110868,23.1466666666586
CML52|Ki11,0.237944306777778,213.555555555558,47.6666666666674
CML52|Ki3,0.22270166302396,309.134931841125,80.3904559145177
CML52|Ky21,0.317809600555555,622.666666666671,198.484444444446
CML52|M37W,0.239256915888891,234.888888888907,53.2155555555618
CML52|Mo17,0.321208621,552.11111111111,175.444444444444
CML52|Mo18W,0.243217214000001,418.111111111114,102.162222222223
CML52|NC350,0.273980165222223,234.555555555548,68.0288888888872
CML52|Oh7B,0.326670061111112,478.555555555562,156.430000000002
CML52|Tx303,0.313003688222222,486.555555555555,159.633333333333
CML52|Tzi8,0.227946322499999,376.333333333328,86.8027777777762
CML69|Ki11,0.334083209555555,251.555555555564,83.644444444447
CML69|Ky21,0.357826197598629,545.857539682192,197.611258696047
CML69|M162W,0.383699677024658,487.464384920543,187.457398007344
CML69|M37W,0.29124006411111,269.111111111094,77.4955555555496
CML69|Mo17,0.386954454,531.666666666668,204.64
CML69|NC350,0.320114512333333,317.333333333327,104.574444444443
CML69|P39,0.355186659333334,384.777777777772,136.516666666665
CML69|Tx303,0.365778414111111,513.666666666656,188.079999999996
CML69|Tzi8,0.288739797899657,513.339384920549,148.143648007345
Hp301|M37W,0.270323982888889,531,142.988888888889
Hp301|Mo17,0.254349047444443,675.555555555552,171.466666666665
Hp301|NC350,0.222839552,503.444444444443,112.343333333333
Hp301|NC358,0.213399411222221,585.222222222219,124.501111111109
Hp301|Oh43,0.255709163,421.666666666672,106.780000000002
Hp301|P39,0.244345335727977,254.219961052072,64.885974808296
Hp301|Tx303,0.266070006,605.444444444443,159.598888888888
IL14H|Ki11,0.371061042666664,515.000000000009,191.527777777779
IL14H|Mo17,0.375533762222222,364.333333333333,132.366666666667
IL14H|Ms71,0.342477474,378.77777777778,124.003333333334
IL14H|NC350,0.359065380649657,403.214384920545,141.889898007344
IL14H|NC358,0.313092200222222,441.000000000001,135.984444444445
IL14H|Oh43,0.33116282963383,487.919504335553,157.625368356527
Ki11|Ki3,0.301555626047051,407.912748015829,123.618699003672
Ki11|M162W,0.360373043425291,615.851357342544,221.757129158886
Ki11|Mo17,0.382731997666667,593.777777777776,226.455555555555
Ki11|Mo18W,0.285594492444445,285.333333333342,84.4977777777806
Ki11|NC358,0.313995596649657,512.339384920548,161.592398007345
Ki11|Oh43,0.350404268774657,572.714384920548,199.896148007345
Ki11|Tx303,0.319162979111111,536.333333333331,173.573333333333
Ki11|Tzi8,0.243165813777778,492,128.484444444445
Ki3|M162W,0.348649726644272,605.21135912694,211.201546225894
Ki3|M37W,0.324126379913502,426.918594104112,136.525481159646
Ki3|Mo18W,0.293941219342073,547.347165532685,167.604052588218
Ki3|NC358,0.300599934111111,596.77777777778,179.523333333334
Ki3|Oh7B,0.373443742274658,373.339384920541,137.403648007343
Ki3|P39,0.340264779774658,287.964384920538,98.998648007342
Ki3|Tx303,0.351164794555556,571.72222222222,200.069444444444
Ki3|Tzi8,0.282577972166667,608.61111111111,174.113333333333
Ky21|M37W,0.337711105476039,710.253957047758,241.873988529925
Ky21|Mo17,0.407447989524655,673.83938492055,275.202398007344
Ky21|Ms71,0.385119879777777,578.222222222222,221.816666666666
Ky21|NC350,0.336385146632647,675.150992063321,229.718129348024
Ky21|NC358,0.350084474352606,635.058581349164,222.511615670339
Ky21|Oh43,0.318311494666667,684.555555555555,215.833333333333
Ky21|Oh7B,0.390526170222223,528.666666666663,205.804444444444
Ky21|P39,0.319555029,464.222222222227,145.227777777779
Ky21|Tx303,0.376572525553995,706.829414682495,266.221337892561
Ky21|Tzi8,0.297753030191556,761.740869280354,231.66804537162
M162W|Mo18W,0.333459325111111,674.666666666666,224.723333333333
M162W|NC350,0.327178394444444,600.444444444442,197.184444444444
M162W|NC358,0.363458452000003,475.666666666653,167.523333333331
M162W|Oh7B,0.377736308444444,576.111111111111,221.235555555555
M162W|Tx303,0.375785454333334,726.222222222221,272.525555555555
M162W|Tzi8,0.293338657616888,660.51826143929,194.183909256759
M37W|Mo17,0.363561235444444,545.444444444446,196.942222222222
M37W|Mo18W,0.350511791888889,412.222222222219,143.775555555555
M37W|Ms71,0.314458396444444,636.61111111111,200.423888888889
M37W|NC350,0.290589133111111,382.166666666666,111.588888888889
M37W|NC358,0.343739308851201,426.062152778076,143.74410697429
M37W|Oh43,0.321451458056359,532.775736961254,170.652624016789
M37W|Oh7B,0.332973392055556,506.555555555554,165.585555555555
M37W|P39,0.370595111111112,218.44444444444,80.573333333332
M37W|Tx303,0.321125057611111,685.111111111111,221.293888888889
M37W|Tzi8,0.260742988944444,616.166666666664,160.709444444443
Mo17|NC350,0.326380753035026,606.997849006658,196.420013698256
Mo17|NC358,0.358332631888888,576.888888888893,206.135555555556
Mo17|Oh43,0.364982943833333,509.499999999999,184.186666666666
Mo17|Oh7B,0.386761803333332,544.555555555557,209.765555555556
Mo17|P39,0.322825928333333,437.944444444444,132.568333333333
Mo17|Tx303,0.367643583444443,731.333333333334,267.865555555555
Mo18W|NC350,0.259386331222222,521.555555555555,133.235555555555
Mo18W|Tzi8,0.232629821185854,515.766659196318,129.300240017811
Ms71|NC358,0.351132257999999,529.277777777779,184.638333333333
Ms71|Oh43,0.314058947666667,515.22222222222,155.136666666666
Ms71|P39,0.35547695025599,336.78373296028,118.991363978629
NC350|NC358,0.287156255722222,497.999999999996,142.240277777776
NC350|Oh43,0.314944282385637,485.836232773522,154.545786645741
NC350|Oh7B,0.365397218333334,464.999999999998,169.101111111111
NC350|P39,0.321990180222222,158.777777777773,52.8466666666651
NC350|Tx303,0.348954177809371,461.642845936633,159.562321863254
NC350|Tzi8,0.236799692222222,619.111111111108,145.977777777777
NC358|Oh43,0.304266288666667,556.777777777777,170.546111111111
NC358|P39,0.273812127410809,419.771832400708,113.955076613242
NC358|Tx303,0.326500488666667,595.333333333332,194.851111111111
Oh43|Oh7B,0.363135094333333,448.444444444443,159.425555555555
Oh43|P39,0.274774539107294,342.718265174463,92.4754559145193
Oh7B|Tx303,0.382566479999999,516.777777777779,197.283333333334
Oh7B|Tzi8,0.328776154222222,552.944444444444,181.026111111111
P39|Tx303,0.324193035666667,431.333333333334,131.154444444445
P39|Tzi8,0.264500125444445,549.888888888888,144.15
Tx303|Tzi8,0.334555103333333,721.222222222222,241.061111111111
